metarea,immig_stem_change,native_coll_wkwage_change,native_non_coll_wkwage_change
"Abilene, TX",0.0,-5.4,8.7
"Akron, OH",0.5,5.5,-4.1
"Albany, GA",-0.7,-6.4,-6.6
"Albany-Schenectady-Troy, NY",0.7,8.0,6.1
"Albuquerque, NM",0.5,9.8,10.6
"Alexandria, LA",-0.1,3.7,18.1
"Allentown-Bethlehem-Easton, PA/NJ",0.4,8.8,3.5
"Altoona, PA",0.2,15.7,6.4
"Amarillo, TX",0.4,15.2,5.0
"Anchorage, AK",0.2,2.7,-8.3
"Ann Arbor, MI",1.8,16.9,0.2
"Anniston, AL",0.1,7.0,15.0
"Appleton-Oshkosh-Neenah, WI",0.3,4.0,8.5
"Asheville, NC",0.2,5.7,-5.1
"Athens, GA",0.1,-1.0,-9.0
"Atlanta, GA",2.0,9.1,-3.2
"Atlantic City, NJ",0.8,18.4,3.1
"Auburn-Opekika, AL",-0.5,-27.0,-34.0
"Augusta-Aiken, GA-SC",0.3,6.2,-8.8
"Austin, TX",3.5,25.3,14.6
"Bakersfield, CA",0.4,3.3,-2.2
"Baltimore, MD",1.2,16.7,7.2
"Barnstable-Yarmouth, MA",-1.4,-8.0,-6.5
"Baton Rouge, LA",0.4,10.1,6.8
"Beaumont-Port Arthur-Orange,TX",0.1,5.7,3.8
"Bellingham, WA",0.2,-2.1,-0.1
"Benton Harbor, MI",0.0,12.3,-4.6
"Billings, MT",0.0,12.3,21.4
"Biloxi-Gulfport, MS",-0.1,21.8,11.6
"Binghamton, NY",0.2,4.6,0.2
"Birmingham, AL",0.3,8.9,4.0
"Bloomington, IN",0.6,4.7,-7.9
"Bloomington-Normal, IL",2.6,13.0,1.2
"Boise City, ID",1.8,5.1,3.8
"Boston, MA-NH",2.0,23.9,1.3
"Bremerton, WA",0.3,15.6,6.1
"Bridgeport, CT",0.6,43.4,-2.4
"Brockton, MA",1.3,6.7,9.7
"Brownsville-Harlingen-San Benito, TX",0.3,6.2,6.2
"Bryan-College Station, TX",0.7,20.0,-4.5
"Buffalo-Niagara Falls, NY",0.3,5.8,4.0
"Canton, OH",0.1,2.2,-3.1
"Cedar Rapids, IA",0.3,12.0,1.2
"Champaign-Urbana-Rantoul, IL",1.0,16.1,-0.2
"Charleston-N.Charleston,SC",0.2,10.4,2.7
"Charlotte-Gastonia-Rock Hill, NC-SC",1.2,20.0,-0.6
"Charlottesville, VA",-0.8,-8.1,2.6
"Chattanooga, TN/GA",0.2,6.2,-0.9
"Chicago, IL",1.0,13.5,-2.5
"Chico, CA",0.3,3.5,3.7
"Cincinnati-Hamilton, OH/KY/IN",0.5,10.5,-1.1
"Clarksville- Hopkinsville, TN/KY",0.1,1.3,8.2
"Cleveland, OH",0.5,2.7,-8.1
"Colorado Springs, CO",0.5,16.6,3.9
"Columbia, MO",0.9,3.4,-1.5
"Columbia, SC",0.6,4.1,0.4
"Columbus, GA/AL",-0.4,8.8,-4.7
"Columbus, OH",1.0,12.8,0.7
"Corpus Christi, TX",0.0,-5.0,16.7
"Dallas-Fort Worth, TX",1.8,17.2,4.6
"Danbury, CT",1.2,26.1,1.9
"Danville, VA",0.0,-6.2,3.2
"Davenport, IA-Rock Island -Moline, IL",0.4,1.4,5.6
"Dayton-Springfield, OH",0.1,2.8,-5.9
"Daytona Beach, FL",0.3,3.5,9.8
"Decatur, AL",0.2,-1.7,-5.5
"Decatur, IL",0.4,19.4,-6.2
"Denver-Boulder, CO",1.0,16.9,8.5
"Des Moines, IA",0.9,13.6,10.4
"Detroit, MI",0.8,-0.2,-12.2
"Dothan, AL",-1.3,-16.2,-16.8
"Dover, DE",0.2,-4.7,14.0
"Duluth-Superior, MN/WI",0.0,18.3,-0.4
"Dutchess Co., NY",2.2,30.3,33.1
"Eau Claire, WI",0.2,4.5,9.9
"El Paso, TX",0.7,-2.1,-3.0
"Elkhart-Goshen, IN",0.0,-1.8,-3.2
"Erie, PA",0.3,5.5,-2.9
"Eugene-Springfield, OR",0.1,3.9,-4.0
"Evansville, IN/KY",0.0,15.5,7.6
"Fargo-Morehead, ND/MN",0.2,-10.0,-0.7
"Fayetteville, NC",0.3,-3.2,9.9
"Fayetteville-Springdale, AR",2.7,36.8,22.9
"Fitchburg-Leominster, MA",-0.7,-8.7,17.3
"Flagstaff, AZ-UT",-0.1,-15.3,-17.6
